Feature1,Feature2,Feature3,Feature4,Target
62.70,17.72,19.07,6.86,49.14
12.47,14.90,150.00,5.08,29.92
98.90,28.28,179.92,6.65,69.67
53.33,29.78,76.56,3.56,53.49
67.24,35.72,108.74,3.23,60.35
32.78,29.12,166.34,4.25,49.56
82.84,4.10,21.82,9.00,47.54
47.63,22.31,80.17,5.74,43.89
39.48,13.18,104.78,4.81,30.80
44.01,46.55,103.01,9.76,83.99
12.71,35.56,34.58,7.34,53.79
86.33,5.90,50.40,5.26,40.59
36.93,47.59,124.30,4.68,66.70
12.09,28.59,17.65,2.38,31.87
30.33,24.30,160.33,2.28,41.06
58.96,2.43,179.91,9.00,37.27
48.88,6.12,76.24,8.83,41.00
41.76,28.65,117.50,9.10,58.34
72.00,30.29,154.77,5.54,60.00
46.09,22.50,95.32,8.80,51.53
66.45,20.48,54.24,4.56,50.64
54.10,47.90,179.11,7.62,80.94
70.72,28.60,161.27,7.37,60.09
56.10,6.19,116.28,2.73,24.81
5.29,28.51,45.99,5.28,38.71
89.69,6.01,187.87,2.62,39.79
24.53,35.28,178.65,5.00,53.95
80.69,30.34,86.34,1.40,57.18
43.70,20.75,173.33,3.86,39.32
25.72,5.73,28.87,2.51,17.61
8.96,15.34,87.38,2.52,22.05
61.45,16.26,15.16,1.53,34.42
41.28,16.21,81.35,8.45,44.28
12.10,10.13,152.91,6.27,21.42
38.50,5.75,21.52,5.18,26.38
40.71,24.21,87.42,3.10,42.35
96.35,33.75,56.80,5.99,74.12
78.52,15.23,87.28,1.76,39.20
96.79,18.67,197.21,8.04,61.38
53.75,21.19,183.18,5.07,48.42
82.94,14.46,194.70,1.00,39.24
93.35,24.11,123.59,8.56,65.79
63.22,29.26,106.96,1.41,51.82
73.92,28.15,67.12,4.56,59.10
55.65,13.97,92.07,6.49,41.75
95.74,15.92,139.60,4.08,50.89
45.27,12.30,196.77,4.07,35.59
45.98,29.98,13.02,7.23,58.07
47.65,45.07,137.81,4.72,71.71
89.53,35.16,154.87,5.84,74.58
7.75,1.55,168.10,7.04,13.74
67.22,17.65,164.43,8.45,52.69
76.80,34.85,11.60,5.16,69.37
93.62,22.23,52.09,1.18,50.35
35.78,4.50,126.55,3.73,25.94
71.78,11.71,103.82,4.27,38.75
70.70,10.45,47.26,8.39,50.49
39.61,43.50,118.13,5.45,65.72
56.57,34.12,117.38,1.59,53.62
12.82,3.25,59.33,6.13,18.72
78.23,9.59,138.82,9.93,53.82
69.30,26.65,58.06,6.04,54.64
64.10,47.15,19.85,9.45,91.23
43.25,49.76,62.07,7.12,79.22
75.90,44.19,52.66,3.50,77.54
42.01,22.44,10.98,2.75,41.00
2.54,36.87,195.84,4.81,50.02
7.44,12.50,41.25,3.80,19.40
48.00,40.40,122.58,6.64,69.32
33.43,12.52,30.49,3.15,26.08
33.36,39.71,189.27,7.98,68.55
61.96,38.20,128.82,6.21,71.19
3.33,15.66,171.06,1.59,18.27
12.75,45.96,93.96,3.71,60.04
67.76,27.96,66.03,4.43,55.86
9.58,37.60,54.29,6.40,53.85
38.39,39.76,177.19,6.57,66.57
33.96,46.88,158.76,5.09,70.85
10.27,29.76,22.83,8.10,49.17
19.36,28.66,131.10,3.31,37.38
44.46,12.16,161.43,1.54,27.83
31.17,21.79,192.35,7.79,43.04
77.55,7.37,68.65,4.09,40.61
36.88,0.40,121.42,7.10,28.30
83.52,42.94,90.19,2.76,77.16
20.04,45.43,159.20,4.07,61.71
98.19,29.99,72.92,6.21,68.41
96.31,30.81,89.55,2.46,61.25
4.22,10.97,10.70,3.01,16.85
23.03,31.20,55.41,7.61,54.19
74.01,10.27,45.01,9.91,50.52
36.28,3.69,15.70,2.04,17.02
58.57,38.28,18.34,1.27,60.99
19.78,8.71,178.22,7.47,26.79
17.85,1.07,170.15,9.20,26.88
2.10,33.87,82.00,8.09,54.91
30.51,12.01,163.80,6.95,36.23
94.12,48.86,199.56,8.93,98.91
14.44,46.21,161.03,2.73,58.81
37.82,18.71,123.91,9.79,46.80
61.60,9.46,111.74,8.11,41.92
32.77,2.66,161.17,8.86,31.57
88.58,10.46,25.47,5.24,41.36
66.35,3.24,106.64,7.76,35.88
49.86,23.21,71.15,4.36,43.96
